filepath,sr,duration,median_f0,mean_f0,spec_cent_mean,mfcc1_mean,mfcc2_mean,mfcc3_mean,mfcc4_mean,mfcc5_mean,mfcc6_mean,mfcc7_mean,mfcc8_mean,mfcc9_mean,mfcc10_mean,mfcc11_mean,mfcc12_mean,mfcc13_mean,mfcc1_std,mfcc2_std,mfcc3_std,mfcc4_std,mfcc5_std,mfcc6_std,mfcc7_std,mfcc8_std,mfcc9_std,mfcc10_std,mfcc11_std,mfcc12_std,mfcc13_std
c:\\Users\\mubva\\Downloads\\Nlp\Minimal Pairs Recordings_6a9c3d7b8b9da1b7ea304bf2a54f32ae\Minimal Pairs\Lexical\KN_FS_23_2021_S14.wav,16000,1.6829375,258.62053938239393,264.27986741019964,1555.011341713504,-574.1236572265625,96.11517333984375,-2.055964708328247,4.681093215942383,-8.833829879760742,1.630064606666565,-18.24656867980957,-6.889296531677246,-20.897228240966797,-13.313192367553711,-20.44693374633789,-13.817028045654297,-10.101095199584961,82.63613891601562,29.53036880493164,14.80290699005127,8.82805347442627,5.792756080627441,7.731956958770752,11.17042350769043,6.986625671386719,11.678669929504395,8.629010200500488,8.026597023010254,8.468384742736816,5.1373114585876465
c:\\Users\\mubva\\Downloads\\Nlp\Minimal Pairs Recordings_6a9c3d7b8b9da1b7ea304bf2a54f32ae\Minimal Pairs\Lexical\KN_FS_23_2021_S2.wav,16000,1.7265625,262.3833560414137,265.57429575646273,1667.4649216057385,-567.1146850585938,85.19383239746094,12.68718433380127,14.2266845703125,-8.003579139709473,-2.3269917964935303,-17.55385971069336,-8.00051498413086,-21.858476638793945,-13.421870231628418,-21.03045654296875,-14.64798355102539,-13.916351318359375,75.82638549804688,35.02178955078125,22.657814025878906,10.686529159545898,9.482048988342285,11.649288177490234,9.831842422485352,9.332215309143066,7.273525238037109,6.166109561920166,7.443818092346191,6.608839511871338,3.2315139770507812
c:\\Users\\mubva\\Downloads\\Nlp\Minimal Pairs Recordings_6a9c3d7b8b9da1b7ea304bf2a54f32ae\Minimal Pairs\Lexical\KN_FS_23_2021_S21.wav,16000,1.839875,270.8517709358815,268.88246518749725,1549.1183382436798,-533.2960205078125,103.94857788085938,-27.346080780029297,4.342635631561279,-13.915032386779785,-7.076894760131836,-25.416440963745117,2.8863091468811035,-11.661248207092285,-12.997049331665039,-22.99038314819336,-10.784919738769531,-8.9497652053833,104.79696655273438,30.55649757385254,28.251842498779297,9.893094062805176,12.966169357299805,11.58572769165039,15.982100486755371,7.211062908172607,6.515963554382324,7.223647117614746,7.139034748077393,7.891441345214844,3.7324564456939697
c:\\Users\\mubva\\Downloads\\Nlp\Minimal Pairs Recordings_6a9c3d7b8b9da1b7ea304bf2a54f32ae\Minimal Pairs\Lexical\KN_FS_23_2021_S3.wav,16000,1.6655,277.1872550602309,281.54405022974964,1627.4348922857412,-540.5579223632812,98.94242095947266,-3.575138807296753,-3.466031312942505,-15.609502792358398,-1.5190470218658447,-21.5087890625,-9.965848922729492,-18.87543487548828,-11.398228645324707,-23.06048011779785,-16.58533477783203,-14.631218910217285,73.04396057128906,38.73202896118164,35.3203010559082,18.505081176757812,11.823412895202637,7.640656471252441,11.427011489868164,7.557928085327148,7.752727508544922,7.627150535583496,7.191451549530029,7.2443060874938965,5.3066253662109375
c:\\Users\\mubva\\Downloads\\Nlp\Minimal Pairs Recordings_6a9c3d7b8b9da1b7ea304bf2a54f32ae\Minimal Pairs\Lexical\KN_FS_23_2021_S6.wav,16000,2.0404375,298.8178765262188,254.68474304746985,1812.0440660283064,-572.6616821289062,89.76913452148438,-10.1139554977417,-2.2578349113464355,-14.617151260375977,-0.40747660398483276,-18.067001342773438,-4.3175811767578125,-16.638761520385742,-11.156316757202148,-21.673770904541016,-15.711501121520996,-11.01546859741211,97.42902374267578,30.40801429748535,25.458457946777344,18.22356605529785,9.65477466583252,14.670159339904785,10.166943550109863,8.092256546020508,10.880963325500488,7.2450761795043945,9.656569480895996,9.460104942321777,4.235445022583008
c:\\Users\\mubva\\Downloads\\Nlp\Minimal Pairs Recordings_6a9c3d7b8b9da1b7ea304bf2a54f32ae\Minimal Pairs\Lexical\KN_FS_23_2021_S9.wav,16000,1.8660625,269.2917795270241,253.1425205322435,1590.8822976758286,-583.5767822265625,97.07316589355469,1.5328154563903809,7.348143100738525,-14.173133850097656,-5.667672157287598,-19.266773223876953,-4.820691108703613,-19.472990036010742,-11.912598609924316,-20.659740447998047,-15.674525260925293,-9.790657043457031,102.33915710449219,35.010833740234375,27.148109436035156,17.025165557861328,12.113057136535645,11.00976276397705,14.64873218536377,9.137219429016113,11.824172973632812,7.712932109832764,6.574977874755859,6.784916877746582,4.662503719329834
c:\\Users\\mubva\\Downloads\\Nlp\Minimal Pairs Recordings_6a9c3d7b8b9da1b7ea304bf2a54f32ae\Minimal Pairs\Lexical\LL_SW_08_04_2021_S11.wav,16000,2.0979375,211.69894286997322,215.94609994205487,2075.2906606448264,-672.7403564453125,72.52788543701172,1.4161312580108643,23.297435760498047,-1.7306649684906006,-5.21754264831543,-11.148815155029297,-6.097160339355469,-6.418493270874023,-7.1109442710876465,-16.839500427246094,-9.79277515411377,-3.897731065750122,131.78207397460938,54.49386215209961,33.38364028930664,22.124324798583984,20.382936477661133,23.263853073120117,19.607105255126953,12.121269226074219,13.769318580627441,5.8413405418396,10.286865234375,7.0632219314575195,9.361993789672852
c:\\Users\\mubva\\Downloads\\Nlp\Minimal Pairs Recordings_6a9c3d7b8b9da1b7ea304bf2a54f32ae\Minimal Pairs\Lexical\LL_SW_08_04_2021_S13.wav,16000,1.9580625,295.3659506116579,295.3780002793873,1760.74967775033,-639.2440185546875,98.11649322509766,8.028669357299805,13.867040634155273,-10.420807838439941,-8.950634002685547,-10.172791481018066,-6.853737831115723,-11.529391288757324,-1.318497896194458,-19.48418617248535,-11.496695518493652,-4.305124759674072,127.21748352050781,56.770904541015625,41.386653900146484,29.395593643188477,24.995922088623047,22.214683532714844,14.576090812683105,7.827690124511719,14.631385803222656,9.790424346923828,9.528777122497559,11.766114234924316,8.471014976501465
c:\\Users\\mubva\\Downloads\\Nlp\Minimal Pairs Recordings_6a9c3d7b8b9da1b7ea304bf2a54f32ae\Minimal Pairs\Lexical\LL_SW_08_04_2021_S14.wav,16000,1.74825,282.02769802256034,279.3024151263464,1864.726279865934,-637.16015625,86.34917449951172,7.812920093536377,27.260591506958008,-13.505236625671387,-4.849827766418457,-11.914865493774414,-9.042694091796875,-14.675422668457031,-5.003434658050537,-19.84697723388672,-11.270702362060547,-9.341285705566406,127.98675537109375,69.44442749023438,39.446311950683594,22.01849937438965,18.324657440185547,19.02044105529785,14.809646606445312,15.428150177001953,17.643638610839844,10.224458694458008,8.085957527160645,8.480755805969238,9.820748329162598
c:\\Users\\mubva\\Downloads\\Nlp\Minimal Pairs Recordings_6a9c3d7b8b9da1b7ea304bf2a54f32ae\Minimal Pairs\Lexical\LL_SW_08_04_2021_S2.wav,16000,1.5816875,266.19869962824436,247.3922217869681,1885.5533654606645,-623.3922119140625,80.43347930908203,3.6682698726654053,37.9255256652832,-10.62592887878418,-14.614360809326172,-11.642470359802246,-10.108762741088867,-18.884546279907227,-5.989643096923828,-17.883129119873047,-13.838735580444336,-6.961676120758057,117.5334243774414,50.27882766723633,29.243579864501953,26.61299705505371,21.410524368286133,22.78264808654785,14.839799880981445,15.780206680297852,15.607409477233887,7.370984077453613,6.671875953674316,9.230719566345215,12.777780532836914
