filepath,sr,duration,median_f0,mean_f0,spec_cent_mean,mfcc1_mean,mfcc2_mean,mfcc3_mean,mfcc4_mean,mfcc5_mean,mfcc6_mean,mfcc7_mean,mfcc8_mean,mfcc9_mean,mfcc10_mean,mfcc11_mean,mfcc12_mean,mfcc13_mean,mfcc1_std,mfcc2_std,mfcc3_std,mfcc4_std,mfcc5_std,mfcc6_std,mfcc7_std,mfcc8_std,mfcc9_std,mfcc10_std,mfcc11_std,mfcc12_std,mfcc13_std
c:\\Users\\mubva\\Downloads\\Nlp\Processed Recordings_1c1ebd100cbabdb5d39320b816b39f42\Processed Recordings\Vaal\RM_VAAL_07_05\RM_VAAL_07_05_S13.wav,16000,1.7511875,291.9733833144849,290.17833914162867,1489.3621721335949,-539.647705078125,109.12197875976562,-14.000903129577637,-0.7796871662139893,-12.943775177001953,-3.330470323562622,-12.618602752685547,-18.149362564086914,-13.0087890625,-11.773453712463379,-24.055583953857422,-14.223641395568848,-12.103343963623047,82.6176986694336,28.850154876708984,22.014259338378906,15.828332901000977,12.70291519165039,12.711543083190918,7.997688293457031,10.802793502807617,9.413175582885742,6.514219284057617,7.818159103393555,5.634507656097412,6.897623062133789
c:\\Users\\mubva\\Downloads\\Nlp\Processed Recordings_1c1ebd100cbabdb5d39320b816b39f42\Processed Recordings\Vaal\RM_VAAL_07_05\RM_VAAL_07_05_S11.wav,16000,1.6705,328.71119870720156,326.900878812104,1355.3222951136179,-530.8169555664062,106.20124816894531,-15.996979713439941,5.461611270904541,-13.264144897460938,-5.966293811798096,-16.592309951782227,-12.367045402526855,-14.963725090026855,-14.045309066772461,-23.520639419555664,-12.313411712646484,-13.000397682189941,99.57849884033203,25.00613784790039,22.26316261291504,14.019248008728027,16.12892723083496,13.401007652282715,14.262810707092285,9.5031099319458,10.737704277038574,7.926753520965576,8.406157493591309,5.747935771942139,4.009008407592773
c:\\Users\\mubva\\Downloads\\Nlp\Processed Recordings_1c1ebd100cbabdb5d39320b816b39f42\Processed Recordings\Vaal\RM_VAAL_07_05\RM_VAAL_07_05_S1.wav,16000,1.5494375,278.7883336231537,282.6154738950212,1436.270619824291,-501.65557861328125,100.84105682373047,-14.285712242126465,-1.9617623090744019,-26.084218978881836,-18.59316635131836,-24.723358154296875,-13.035058975219727,-18.4210147857666,-15.082677841186523,-21.24138832092285,-15.665215492248535,-14.812682151794434,89.32103729248047,27.09469985961914,19.87078857421875,12.768880844116211,16.08147430419922,14.356122016906738,10.668939590454102,9.354300498962402,9.661837577819824,6.9034905433654785,6.318185806274414,5.163790225982666,5.735522270202637
c:\\Users\\mubva\\Downloads\\Nlp\Processed Recordings_1c1ebd100cbabdb5d39320b816b39f42\Processed Recordings\Vaal\RM_VAAL_07_05\RM_VAAL_07_05_S14.wav,16000,2.3775,285.30470202322215,262.59952950708765,1332.2496643041648,-522.4111328125,113.00615692138672,-17.767526626586914,2.9585001468658447,-7.7528605461120605,-0.6013693809509277,-20.778230667114258,-16.402727127075195,-17.929357528686523,-16.269458770751953,-23.17405128479004,-14.189964294433594,-13.585556030273438,82.72647857666016,35.908058166503906,10.6736478805542,9.800107955932617,11.726634979248047,12.447460174560547,10.407567024230957,10.031556129455566,7.123575210571289,6.289455890655518,6.664954662322998,5.426680088043213,4.764206409454346
c:\\Users\\mubva\\Downloads\\Nlp\Processed Recordings_1c1ebd100cbabdb5d39320b816b39f42\Processed Recordings\Vaal\RM_VAAL_07_05\RM_VAAL_07_05_S16.wav,16000,1.93425,257.13099468347406,204.2724955067963,1369.3079811012624,-536.8486328125,115.2782211303711,-14.912771224975586,8.277318000793457,0.36412686109542847,3.3095602989196777,-16.647287368774414,-13.497272491455078,-16.03616714477539,-12.10840129852295,-19.193239212036133,-8.536252975463867,-9.012856483459473,65.52764892578125,41.808738708496094,11.978401184082031,12.389509201049805,12.532317161560059,10.10747241973877,10.807085990905762,12.89123249053955,6.816548824310303,7.379815578460693,9.328874588012695,5.704857349395752,4.843809127807617
c:\\Users\\mubva\\Downloads\\Nlp\Processed Recordings_1c1ebd100cbabdb5d39320b816b39f42\Processed Recordings\Vaal\RM_VAAL_07_05\RM_VAAL_07_05_S15.wav,16000,2.0793125,284.4830849399648,252.4363739801357,1270.0020089918974,-500.4114074707031,112.2080307006836,-13.717503547668457,13.819900512695312,-7.034122467041016,-0.05459321662783623,-21.29288101196289,-13.058818817138672,-20.06578826904297,-13.397494316101074,-18.277971267700195,-13.528532981872559,-10.834661483764648,70.95759582519531,22.008434295654297,12.011847496032715,12.589890480041504,15.619301795959473,11.716691017150879,10.143033027648926,9.86550235748291,6.521763801574707,5.407057762145996,5.515530586242676,6.174661159515381,5.460170745849609
c:\\Users\\mubva\\Downloads\\Nlp\Processed Recordings_1c1ebd100cbabdb5d39320b816b39f42\Processed Recordings\Vaal\RM_VAAL_07_05\RM_VAAL_07_05_S12.wav,16000,2.291875,298.79793764201077,290.4673762879321,1306.918716808802,-507.94097900390625,109.02534484863281,-15.762415885925293,6.212381839752197,-21.99618148803711,-3.78489351272583,-16.95872688293457,-18.4492130279541,-12.569558143615723,-10.892566680908203,-24.80208969116211,-17.17351531982422,-12.84719467163086,89.81700897216797,35.88837432861328,20.43211555480957,19.557458877563477,13.571268081665039,10.3905029296875,13.704174041748047,12.93838882446289,10.572433471679688,7.545227527618408,5.819489479064941,5.879238605499268,4.396358489990234
c:\\Users\\mubva\\Downloads\\Nlp\Processed Recordings_1c1ebd100cbabdb5d39320b816b39f42\Processed Recordings\Vaal\RM_VAAL_07_05\RM_VAAL_07_05_S10.wav,16000,2.5420625,298.79793764201077,307.14917580930677,1565.091762362196,-508.73101806640625,103.2877426147461,-33.89861297607422,0.7230933904647827,-19.952770233154297,-8.4117431640625,-16.706321716308594,-11.655328750610352,-8.038013458251953,-11.143775939941406,-28.0026798248291,-18.864694595336914,-11.009923934936523,100.32250213623047,31.91893196105957,20.240480422973633,9.760809898376465,14.778355598449707,18.103254318237305,12.71815299987793,7.059910774230957,8.113531112670898,6.9848432540893555,8.82877254486084,8.397726058959961,5.093932628631592
c:\\Users\\mubva\\Downloads\\Nlp\Processed Recordings_1c1ebd100cbabdb5d39320b816b39f42\Processed Recordings\Vaal\RM_VAAL_07_05\RM_VAAL_07_05_S2.wav,16000,1.513125,285.30470202322215,262.8274392332697,1422.817406053355,-524.32861328125,98.64889526367188,0.5344917178153992,3.367260217666626,-19.591407775878906,-18.529726028442383,-23.360366821289062,-15.802645683288574,-18.891077041625977,-20.828927993774414,-23.528779983520508,-14.842053413391113,-12.163235664367676,70.73363494873047,21.48171043395996,15.64511775970459,10.998318672180176,8.102235794067383,9.414770126342773,9.053032875061035,11.274714469909668,9.256818771362305,7.780683517456055,6.4763503074646,4.662930488586426,4.019562721252441
c:\\Users\\mubva\\Downloads\\Nlp\Processed Recordings_1c1ebd100cbabdb5d39320b816b39f42\Processed Recordings\Vaal\RM_VAAL_07_05\RM_VAAL_07_05_S18.wav,16000,1.845625,273.99891691894106,280.5696384443626,1341.934346079061,-551.19287109375,111.52793884277344,-21.6003475189209,3.9337761402130127,-4.9113850593566895,0.2573849558830261,-19.765748977661133,-16.164283752441406,-22.44840431213379,-16.077232360839844,-23.67317008972168,-11.96562385559082,-12.876082420349121,68.00834655761719,35.18155288696289,12.560587882995605,13.779032707214355,14.609099388122559,11.069180488586426,7.382131099700928,12.635354042053223,6.228093147277832,7.468984127044678,7.585326671600342,6.563525676727295,4.359118938446045
