filepath,sr,duration,median_f0,mean_f0,spec_cent_mean,mfcc1_mean,mfcc2_mean,mfcc3_mean,mfcc4_mean,mfcc5_mean,mfcc6_mean,mfcc7_mean,mfcc8_mean,mfcc9_mean,mfcc10_mean,mfcc11_mean,mfcc12_mean,mfcc13_mean,mfcc1_std,mfcc2_std,mfcc3_std,mfcc4_std,mfcc5_std,mfcc6_std,mfcc7_std,mfcc8_std,mfcc9_std,mfcc10_std,mfcc11_std,mfcc12_std,mfcc13_std
c:\\Users\\mubva\\Downloads\\Nlp\Processed Recordings_1c1ebd100cbabdb5d39320b816b39f42\Processed Recordings\Soweto\NN_DV_23_04\NN_DV_23_04_S24.wav,16000,1.576,263.1587062771085,267.9720779401227,1550.1522323953066,-499.8235168457031,86.9732894897461,-15.121298789978027,23.983915328979492,-16.803176879882812,-5.337815761566162,-21.04818344116211,-8.360222816467285,-22.07569122314453,-14.651697158813477,-28.971548080444336,-13.618276596069336,-12.007146835327148,100.086669921875,29.187606811523438,33.83319091796875,12.376571655273438,19.607200622558594,11.480921745300293,9.589248657226562,8.335901260375977,9.619195938110352,9.262579917907715,9.011155128479004,11.010549545288086,6.317895889282227
c:\\Users\\mubva\\Downloads\\Nlp\Processed Recordings_1c1ebd100cbabdb5d39320b816b39f42\Processed Recordings\Soweto\NN_DV_23_04\NN_DV_23_04_S21.wav,16000,1.60425,251.2581146483697,227.48721285524303,1462.5467231377538,-505.4078063964844,107.05186462402344,-30.178359985351562,8.415800094604492,-21.266477584838867,-8.606271743774414,-31.61140251159668,-4.968257427215576,-10.9146146774292,-10.847573280334473,-26.823223114013672,-10.31857681274414,-10.517114639282227,78.55634307861328,30.225648880004883,29.96106719970703,14.631360054016113,17.891427993774414,8.066198348999023,9.654335021972656,7.382727146148682,9.095453262329102,7.893215656280518,8.183158874511719,9.274738311767578,4.48014497756958
c:\\Users\\mubva\\Downloads\\Nlp\Processed Recordings_1c1ebd100cbabdb5d39320b816b39f42\Processed Recordings\Soweto\NN_DV_23_04\NN_DV_23_04_S26.wav,16000,1.6536875,312.9293240034019,296.92434431252406,1890.9043901630607,-481.33050537109375,76.73035430908203,-28.764482498168945,11.333979606628418,-16.32644271850586,-6.073635578155518,-25.977657318115234,-4.264829635620117,-16.631534576416016,-12.529430389404297,-27.76528549194336,-11.364574432373047,-6.6920576095581055,98.1126480102539,46.302486419677734,23.816587448120117,16.26688003540039,20.611083984375,12.271966934204102,14.449117660522461,8.896784782409668,13.29988956451416,8.045300483703613,9.785539627075195,8.119123458862305,5.591202735900879
c:\\Users\\mubva\\Downloads\\Nlp\Processed Recordings_1c1ebd100cbabdb5d39320b816b39f42\Processed Recordings\Soweto\NN_DV_23_04\NN_DV_23_04_S28.wav,16000,2.2331875,320.265070192248,306.8740646929095,1712.0536106616537,-538.2763061523438,76.85975646972656,-4.535735130310059,23.141361236572266,-21.126007080078125,-9.639409065246582,-21.258230209350586,-6.183876037597656,-20.0789794921875,-12.646242141723633,-25.31610870361328,-10.456835746765137,-8.893633842468262,101.3415756225586,24.80774688720703,26.088897705078125,17.984331130981445,20.89936637878418,12.738829612731934,10.448098182678223,6.921670913696289,10.046916007995605,6.319748401641846,8.599576950073242,8.486026763916016,6.705033779144287
c:\\Users\\mubva\\Downloads\\Nlp\Processed Recordings_1c1ebd100cbabdb5d39320b816b39f42\Processed Recordings\Soweto\NN_DV_23_04\NN_DV_23_04_S22.wav,16000,2.6571875,302.26980244077964,308.6847631982132,1370.9982178539217,-492.9768371582031,107.75283813476562,-17.96540641784668,5.361006736755371,-24.40045166015625,-7.984066009521484,-25.632213592529297,-10.978604316711426,-17.33839988708496,-8.674638748168945,-24.4914608001709,-10.618035316467285,-9.44476318359375,99.4588394165039,25.024999618530273,33.20628356933594,31.573890686035156,14.46930980682373,8.123194694519043,13.76093864440918,8.40484619140625,10.467182159423828,9.204874038696289,10.08734130859375,6.728153705596924,5.873925685882568
c:\\Users\\mubva\\Downloads\\Nlp\Processed Recordings_1c1ebd100cbabdb5d39320b816b39f42\Processed Recordings\Soweto\NN_DV_23_04\NN_DV_23_04_S27.wav,16000,2.7773125,291.9733833144849,296.29787354072965,1529.833252917191,-524.1859130859375,89.04499816894531,-4.8585991859436035,16.387939453125,-16.9354248046875,-5.349483013153076,-22.73016929626465,-19.740150451660156,-17.186302185058594,-15.235608100891113,-21.4276180267334,-14.280900955200195,-4.450188159942627,91.99974822998047,38.41869354248047,27.111337661743164,25.287015914916992,18.888565063476562,11.135100364685059,15.006521224975586,11.623394012451172,9.236798286437988,7.581508159637451,7.615223407745361,8.107181549072266,6.920556545257568
c:\\Users\\mubva\\Downloads\\Nlp\Processed Recordings_1c1ebd100cbabdb5d39320b816b39f42\Processed Recordings\Soweto\NN_DV_23_04\NN_DV_23_04_S25.wav,16000,2.8409375,286.9574553484241,293.4761919270538,1359.5443811237578,-508.06707763671875,106.9531478881836,-10.950003623962402,4.823999404907227,-16.534757614135742,-2.023773193359375,-30.606403350830078,-17.835773468017578,-17.359737396240234,-12.771368980407715,-25.420635223388672,-12.193181991577148,-10.98338794708252,87.8023452758789,29.77384376525879,27.068408966064453,18.75617218017578,18.104686737060547,9.414402961730957,10.891518592834473,11.629969596862793,11.524219512939453,8.06332778930664,9.704380989074707,5.866020202636719,4.993582248687744
c:\\Users\\mubva\\Downloads\\Nlp\Processed Recordings_1c1ebd100cbabdb5d39320b816b39f42\Processed Recordings\Soweto\NN_DV_23_04\NN_DV_23_04_S23.wav,16000,3.681875,304.0208335929107,304.0752573446648,1585.596382408279,-505.11236572265625,87.51375579833984,2.8887054920196533,12.964921951293945,-14.261884689331055,-3.3141448497772217,-27.931270599365234,-17.839759826660156,-22.95454216003418,-13.1460542678833,-26.318992614746094,-15.402878761291504,-8.56564998626709,90.68305969238281,38.45513153076172,22.52884292602539,24.30148696899414,15.007143020629883,5.816603660583496,13.238101959228516,8.790603637695312,10.009442329406738,6.9231977462768555,9.0570068359375,8.032197952270508,5.796892166137695
c:\\Users\\mubva\\Downloads\\Nlp\Processed Recordings_1c1ebd100cbabdb5d39320b816b39f42\Processed Recordings\Soweto\NN_DV_23_04\NN_DV_23_04_S29.wav,16000,2.5229375,327.72904188699454,310.77078780775014,1368.9832702672736,-514.8506469726562,107.43135833740234,-3.1741931438446045,3.5918848514556885,-27.637405395507812,-5.980495452880859,-29.980634689331055,-11.369935035705566,-15.511150360107422,-12.801287651062012,-23.949426651000977,-9.44607925415039,-6.026922225952148,99.6080322265625,34.682064056396484,27.604991912841797,19.2370662689209,17.536094665527344,12.948567390441895,19.50370979309082,11.178404808044434,11.720934867858887,8.327221870422363,8.832193374633789,6.608150005340576,7.797939777374268
c:\\Users\\mubva\\Downloads\\Nlp\Processed Recordings_1c1ebd100cbabdb5d39320b816b39f42\Processed Recordings\Soweto\NN_DV_23_04\NN_DV_23_04_S30.wav,16000,2.5511875,273.99891691894106,257.77402747185823,1541.4093599919556,-568.0999755859375,83.94779205322266,12.38619327545166,22.205459594726562,-8.447731971740723,-4.103816986083984,-18.565837860107422,-14.333050727844238,-20.96047592163086,-12.947397232055664,-22.117374420166016,-12.436978340148926,-8.831084251403809,92.53669738769531,24.28297996520996,13.632800102233887,16.904678344726562,12.187402725219727,10.741713523864746,11.1730375289917,10.15706729888916,10.080602645874023,7.413127899169922,10.290319442749023,8.029882431030273,8.311053276062012
